City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Sanlucar De Barrameda,ES,36.7781,-6.3515,67.21,88,20,4.61,few clouds
289,Meulaboh,ID,4.1363,96.1285,75.22,92,100,4.32,moderate rain
290,Haverfordwest,GB,51.8017,-4.9691,53.19,80,20,4.0,few clouds
291,San Joaquin,US,37.9333,-121.3011,57.49,75,0,0.0,clear sky
292,Willmar,US,45.1219,-95.0433,30.15,80,100,8.05,overcast clouds
293,Bisira,PA,8.5196,-81.7115,63.45,94,100,0.78,moderate rain
294,Vardo,NO,70.3705,31.1107,30.18,86,0,6.91,clear sky
295,Olinda,BR,-8.0089,-34.8553,82.13,69,75,8.05,broken clouds
296,Kaseda,JP,31.4167,130.3167,63.79,75,100,14.56,overcast clouds
297,Palasa,IN,18.7667,84.4167,68.0,73,0,2.91,clear sky
298,Vanimo,PG,-2.6741,141.3028,76.71,90,100,3.67,light rain
299,Haldibari,IN,26.3333,88.7667,66.79,69,0,2.8,clear sky
300,Gamba,GA,-2.65,10.0,74.79,88,100,5.08,overcast clouds
301,Jennings,US,38.7192,-90.2604,44.02,61,16,3.0,few clouds
302,Espinal,CO,4.1492,-74.8843,85.59,58,57,1.72,broken clouds
303,Bonavista,CA,48.6499,-53.1147,37.92,96,100,28.16,light rain
304,Rolla,US,37.9514,-91.7713,44.96,49,0,9.22,clear sky
305,Hirara,JP,24.8,125.2833,73.92,74,39,15.01,scattered clouds
306,Jacmel,HT,18.2342,-72.5347,87.64,69,21,4.9,light rain
307,Nishihara,JP,26.1842,127.7558,72.68,78,20,11.5,few clouds
308,Jalu,LY,29.0331,21.5482,63.61,35,0,7.43,clear sky
309,Surt,LY,31.2089,16.5887,70.16,53,0,9.24,clear sky
310,Loikaw,MM,19.6742,97.2094,63.97,77,100,2.46,overcast clouds
311,Kirakira,SB,-10.4544,161.9205,79.88,78,74,2.86,broken clouds
312,Dunedin,NZ,-45.8742,170.5036,55.8,92,95,3.0,overcast clouds
313,Kapit,MY,2.0167,112.9333,72.66,100,100,0.74,overcast clouds
314,Saint-Leu,RE,-21.15,55.2833,71.31,73,38,14.47,scattered clouds
315,Mareeba,AU,-17.0,145.4333,72.45,93,100,1.48,overcast clouds
316,Kudahuvadhoo,MV,2.6708,72.8944,81.64,79,100,15.32,overcast clouds
317,Bubaque,GW,11.2833,-15.8333,83.61,71,63,12.44,broken clouds
318,Deputatskiy,RU,69.3,139.9,-20.61,94,100,5.84,overcast clouds
319,Flinders,AU,-34.5833,150.8552,61.18,78,11,8.01,few clouds
320,Osakarovka,KZ,50.565,72.5692,33.37,96,100,25.01,snow
321,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,88,100,22.17,light rain
322,Lata,PT,40.1629,-8.3327,60.08,95,100,4.76,overcast clouds
323,Oksfjord,NO,70.2396,22.3479,39.38,91,100,8.88,overcast clouds
324,Egvekinot,RU,66.3167,-179.1667,5.56,98,100,0.58,overcast clouds
325,Salvador,SV,13.8333,-88.9167,83.05,57,22,0.96,few clouds
326,Saint Anthony,US,45.0205,-93.218,30.83,90,100,11.5,snow
327,Jaisalmer,IN,26.9147,70.9181,71.11,50,0,13.53,clear sky
328,Neuquen,AR,-38.9516,-68.0591,76.06,32,33,23.71,scattered clouds
329,Zima,RU,53.9202,102.0442,29.16,94,100,3.85,overcast clouds
330,Coihaique,CL,-45.5752,-72.0662,61.41,54,75,12.66,broken clouds
331,Bari,IT,41.1177,16.8512,62.87,84,20,5.01,few clouds
332,Fortuna,US,40.5982,-124.1573,57.92,83,0,6.91,clear sky
333,Lompoc,US,34.6391,-120.4579,66.02,45,20,3.44,few clouds
334,Aljezur,PT,37.3191,-8.8033,63.46,93,100,5.06,overcast clouds
335,Dudinka,RU,69.4058,86.1778,-32.06,99,25,3.04,scattered clouds
336,Preobrazheniye,RU,42.9019,133.9064,34.61,57,17,6.31,few clouds
337,Gat,IL,31.61,34.7642,70.81,100,14,6.04,few clouds
338,Tautira,PF,-17.7333,-149.15,77.41,82,29,7.67,scattered clouds
339,Whitianga,NZ,-36.8333,175.7,61.43,88,64,6.96,broken clouds
340,Puerto Princesa,PH,9.7392,118.7353,82.38,83,40,4.61,scattered clouds
341,Vigrestad,NO,58.5667,5.7,53.58,75,100,25.84,overcast clouds
342,Limon,CR,10.0,-83.0333,81.05,83,75,6.91,drizzle
343,Maposeni,TZ,-10.5833,35.4,77.18,31,91,4.27,overcast clouds
344,Hayvoron,UA,48.3396,29.8679,41.67,70,99,5.08,overcast clouds
345,Milkovo,RU,54.7167,158.6167,16.72,96,100,3.78,snow
346,Cidreira,BR,-30.1811,-50.2056,78.69,62,3,5.66,clear sky
