City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
232,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
237,Saint George,US,50.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
238,Praia Da Vitoria,PT,68.25,broken clouds,38.7333,-27.0667,Hotel Branco I
240,Oudtshoorn,ZA,61.16,overcast clouds,-33.5907,22.2014,Earthbound Guest House
241,Karpathos,GR,62.56,broken clouds,35.507,27.2132,Alex
243,San Agustin,MX,75.51,overcast clouds,20.5333,-103.4667,Motel Garden
245,Kutum,SD,67.86,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
246,Ngerengere,TZ,74.71,clear sky,-6.75,38.1167,Masurura Lodge
247,Salamanca,ES,51.8,overcast clouds,40.8333,-6.0,Palacio Carrascalino
248,Bengkulu,ID,74.77,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
250,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
253,Malpe,IN,74.5,heavy intensity rain,13.35,74.7167,Hotel Sri Krishna Residency
255,Sao Filipe,CV,75.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
256,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
257,Domodossola,IT,50.72,overcast clouds,46.1165,8.2931,Eurossola
258,La Roda,ES,60.4,overcast clouds,39.2167,-2.15,Hotel-Restaurante El Sueño de Jemik
259,Mizdah,LY,59.88,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
260,Broken Hill,AU,51.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
262,Rocha,UY,64.69,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
266,Contai,IN,65.52,clear sky,21.7786,87.7536,PATHFINDER
267,Najran,SA,68.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
269,Kalmunai,LK,76.75,heavy intensity rain,7.4167,81.8167,VS Villa
273,Padang,ID,74.23,light rain,-0.9492,100.3543,Mercure Padang
276,Ponta Do Sol,PT,72.01,overcast clouds,32.6667,-17.1,Hotel do Campo
279,Loubomo,CG,72.07,overcast clouds,-4.1997,12.6739,La Dolisienne
280,Ca Mau,VN,75.97,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
285,Saint Marys,US,70.05,overcast clouds,30.7305,-81.5465,Spencer House Inn by Brham
287,Ancud,CL,54.48,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
288,Sanlucar De Barrameda,ES,67.21,few clouds,36.7781,-6.3515,HOTEL BARRAMEDA
289,Meulaboh,ID,75.22,moderate rain,4.1363,96.1285,Kost Pria
290,Haverfordwest,GB,53.19,few clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
291,San Joaquin,US,57.49,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
296,Kaseda,JP,63.79,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
297,Palasa,IN,68.0,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
298,Vanimo,PG,76.71,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
299,Haldibari,IN,66.79,clear sky,26.3333,88.7667,Rahul and Debika
305,Hirara,JP,73.92,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
307,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
308,Jalu,LY,63.61,clear sky,29.0331,21.5482,صاحبة الفخامة
309,Surt,LY,70.16,clear sky,31.2089,16.5887,فندق المدينة
310,Loikaw,MM,63.97,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
311,Kirakira,SB,79.88,broken clouds,-10.4544,161.9205,SanBiz Lodge
312,Dunedin,NZ,55.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
313,Kapit,MY,72.66,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
314,Saint-Leu,RE,71.31,scattered clouds,-21.15,55.2833,La Caz Oceane
315,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
319,Flinders,AU,61.18,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
322,Lata,PT,60.08,overcast clouds,40.1629,-8.3327,Terraços da Beira
327,Jaisalmer,IN,71.11,clear sky,26.9147,70.9181,Hotel Fifu
328,Neuquen,AR,76.06,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
330,Coihaique,CL,61.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
331,Bari,IT,62.87,few clouds,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
332,Fortuna,US,57.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
333,Lompoc,US,66.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
334,Aljezur,PT,63.46,overcast clouds,37.3191,-8.8033,Amazigh Hostel
337,Gat,IL,70.81,few clouds,31.61,34.7642,OlusHome
338,Tautira,PF,77.41,scattered clouds,-17.7333,-149.15,Pension Oaoa
339,Whitianga,NZ,61.43,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
341,Vigrestad,NO,53.58,overcast clouds,58.5667,5.7,Brusand Camping
346,Cidreira,BR,78.69,clear sky,-30.1811,-50.2056,Hotel Castelo
347,Kiunga,PG,73.09,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
350,Ribeira Grande,PT,67.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
351,Korem,ET,53.53,clear sky,12.5058,39.5228,Lakomeliza Hotel
354,Danshui,CN,73.45,overcast clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
355,Laguna,US,60.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
356,Kilosa,TZ,76.59,clear sky,-6.8333,36.9833,Hotel Dorice & Daughters
360,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
363,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
365,Vung Tau,VN,79.74,overcast clouds,10.346,107.0843,Seaside Resort
371,Montepuez,MZ,75.72,broken clouds,-13.1256,38.9997,PembaAparthotel
373,Mutoko,ZW,64.0,overcast clouds,-17.397,32.2268,Suskwe Lodge Mutoko
375,Kabare,CD,62.67,light rain,-2.4683,28.8242,Hôtel Panorama
376,Sai Buri,TH,79.97,heavy intensity rain,6.7013,101.6168,สวนป่ารีสอร์ท
378,Beira,MZ,73.49,light intensity drizzle,-19.8436,34.8389,Beira Terrace Hotel
380,Phan Thiet,VN,75.51,broken clouds,10.9333,108.1,Hotel Saigon-PT
382,Tapes,BR,76.98,broken clouds,-30.6733,-51.3958,Cabanas Camping Union
383,Port Macquarie,AU,58.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
387,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
393,Acolla,PE,64.71,broken clouds,-11.7319,-75.5463,Turismo Cultural El Chasqui
396,Vao,NC,75.04,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
399,Kruisfontein,ZA,63.97,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
400,Brae,GB,51.44,overcast clouds,60.3964,-1.353,Busta House Hotel
401,Gemena,CD,74.32,overcast clouds,3.25,19.7667,Hôtel Goshen
403,Huarmey,PE,70.0,few clouds,-10.0681,-78.1522,Hotel Miramar
406,Polis,CY,60.62,clear sky,35.0367,32.4264,Marion
411,Yining,CN,50.4,overcast clouds,29.0361,114.5636,Xiushui Hotel
413,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
415,Mutare,ZW,62.22,light rain,-18.9707,32.6709,Ann Bruce Backpackers
417,Lagoa,PT,64.2,clear sky,39.05,-27.9833,Casa Das Faias
420,Puerto Colombia,CO,75.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
422,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
426,San Quintin,MX,64.15,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
429,Rio Gallegos,AR,68.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
435,Dalby,AU,55.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
437,Islampur,IN,66.13,clear sky,26.2667,88.2,Circuit House
438,Sliema,MT,67.95,few clouds,35.9125,14.5019,Grand Hotel Excelsior Malta
439,Ramnagar,IN,61.63,broken clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
440,Taltal,CL,68.63,few clouds,-25.4,-70.4833,Residencial Karime
441,Houma,US,66.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
445,Tura,IN,61.65,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
447,Veraval,IN,77.29,clear sky,20.9,70.3667,Lords Inn Somnath
448,Folkestone,GB,57.92,broken clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
449,Minas De Barroteran,MX,72.01,clear sky,27.6333,-101.2833,Motel Venecia
450,Okuchi,JP,54.55,overcast clouds,32.0667,130.6167,Maruya Inn
451,Sechura,PE,76.14,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
452,Pringsewu,ID,72.82,light rain,-5.3582,104.9744,Urban Style by Front One
455,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
456,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
457,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
460,Kokstad,ZA,54.59,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
461,Mangan,IN,59.29,broken clouds,27.5167,88.5333,Hotel Mout View
462,Kawalu,ID,72.27,overcast clouds,-7.3817,108.2082,West Jontor
463,Farsund,NO,50.05,overcast clouds,58.0948,6.8047,Farsund Fjordhotel
465,Mao,ES,66.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
467,Harper,LR,78.33,overcast clouds,4.375,-7.7169,Screensaver
469,Saint-Denis,FR,56.17,broken clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
472,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
473,Sakakah,SA,67.57,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
475,Soc Trang,VN,77.29,overcast clouds,9.6033,105.98,Phu Quy Hotel
477,Maiduguri,NG,76.42,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
480,Puerto Del Rosario,ES,78.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
481,Arlit,NE,75.51,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
483,Eresos,GR,53.89,few clouds,39.1667,25.9333,Studio Aspa
485,Puerto Madryn,AR,71.71,broken clouds,-42.7692,-65.0385,Hotel Tolosa
487,Cabildo,AR,78.35,clear sky,-38.4842,-61.8954,Amanecer
488,Plettenberg Bay,ZA,68.38,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
489,Turbat,PK,77.92,clear sky,26.0023,63.044,Mubashar Quarters
490,Mosquera,CO,62.69,broken clouds,4.7059,-74.2302,Hotel SJ
501,Samandag,TR,66.36,clear sky,36.0842,35.9771,Anadolu Palace Hotel
505,Mount Isa,AU,71.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
506,Keti Bandar,PK,79.27,clear sky,24.1447,67.4497,Haji laloo memon house
508,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
512,Srandakan,ID,74.39,overcast clouds,-7.9386,110.2506,Puri Brata
513,Havelock,US,55.0,overcast clouds,34.8791,-76.9013,Sherwood Motel
514,Fuerte,PH,78.64,clear sky,17.5381,120.3644,Giordion Inn
515,Namibe,AO,67.71,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
516,Sherghati,IN,56.82,clear sky,24.5667,84.7833,Mamu Hotal
522,Shimoda,JP,52.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
523,San Francisco,US,59.27,scattered clouds,37.7749,-122.4194,Edwardian Hotel
524,Zhuhai,CN,74.98,few clouds,22.2769,113.5678,珠海粤财假日酒店
527,Miandrivazo,MG,79.11,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
528,Shingu,JP,50.16,scattered clouds,33.7333,135.9833,Shingu UI Hotel
530,Zemio,CF,73.4,overcast clouds,5.0314,25.1361,OCHA Office
532,Catuday,PH,79.23,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
535,Williamsburg,US,52.18,overcast clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
536,Wanaka,NZ,55.26,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
546,Pokhara,NP,57.45,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
551,Gidam,IN,59.54,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
552,Okitipupa,NG,77.09,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
554,Teguise,ES,79.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
555,La Cruz,MX,78.33,clear sky,23.9167,-106.9,Jesús angel
556,Tongren,CN,50.36,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
563,Kailua,US,79.45,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
566,Elizabeth City,US,54.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
567,Coquimbo,CL,68.5,clear sky,-29.9533,-71.3436,Hotel San Juan
570,Omboue,GA,76.37,overcast clouds,-1.5746,9.2618,Hotel Olako
572,Bintulu,MY,76.01,moderate rain,3.1667,113.0333,900 Boutique INN
573,Bandarbeyla,SO,79.36,clear sky,9.4942,50.8122,JABIR HOTEL
575,Tabuk,PH,73.17,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
576,Isangel,VU,76.46,clear sky,-19.55,169.2667,Tanna Lodge
580,Atherton,GB,54.21,overcast clouds,53.5237,-2.4935,The Mercury Motel
581,Larsnes,NO,53.01,overcast clouds,62.2028,5.5773,Liset Feriesenter AS
